model,fold,valid_start,valid_end,valid_fraud_rate,pr_auc,roc_auc
Dummy,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.022616528297791524,0.5
Dummy,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.01727711758641272,0.5
Dummy,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.01995767540289761,0.5
Dummy,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.010244722990938196,0.5
LogisticRegression,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.32460083444130394,0.7507139701282864
LogisticRegression,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.06847981995433976,0.676184633425207
LogisticRegression,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.022992991254474404,0.5015761828790029
LogisticRegression,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.02350607526130665,0.7276141806540555
SGDClassifier,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.37845850545297344,0.7922122777053155
SGDClassifier,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.10162299574051697,0.759408174684561
SGDClassifier,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.07122871900221975,0.7191011620245861
SGDClassifier,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.07938136301198653,0.821448582837796
LinearSVC,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.2474181485158618,0.7176641589968633
LinearSVC,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.045650925227504816,0.6227909186363387
LinearSVC,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.0253122447368897,0.5046900835630248
LinearSVC,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.016039930092002795,0.6322431395247488
RandomForest,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.4459492482349369,0.8134050101380423
RandomForest,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.678179799200503,0.9453820028882277
RandomForest,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.6998375887312575,0.9662355682059164
RandomForest,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.8396631488475416,0.9718423152790289
ExtraTrees,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.45983449540719273,0.8294657922298387
ExtraTrees,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.7003493969915916,0.9619797571837632
ExtraTrees,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.7574574076332597,0.9697292392380317
ExtraTrees,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.858738773140324,0.9807724240683504
