feature,importance_mean,importance_std
high_amt_flag,0.17748,0.00311
category,0.03852,0.00155
tx_hour,0.03612,0.00189
online_flag,0.03574,0.00139
life_stage,0.03043,0.0013
amt_log,0.02688,0.00092
tx_month,0.02548,0.00118
is_night,0.02237,0.0022
hour_sin,0.01883,0.00127
tx_week,0.01185,0.00099
amt,0.0099,0.00043
night_online,0.00401,0.00024
age_years,0.00117,0.00042
tx_is_weekend,0.00048,0.00058
city_pop_log,0.00037,0.00026
merchant_distance_km,1e-05,0.00018
tx_dayofweek,-0.00013,0.00027
state,-0.00021,0.00013
long,-0.00026,9e-05
lat,-0.00035,0.00019
residence,-0.00048,0.00025
hour_cos,-0.002,0.00059
gender,-0.00599,0.00045
