model,fold,valid_start,valid_end,valid_fraud_rate,pr_auc,roc_auc
Dummy,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.022616528297791524,0.5
Dummy,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.01727711758641272,0.5
Dummy,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.01995767540289761,0.5
Dummy,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.010244722990938196,0.5
LogisticRegression,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.32460083444130394,0.7507139701282864
LogisticRegression,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.06847981995433976,0.676184633425207
LogisticRegression,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.022992991254474404,0.5015761828790029
LogisticRegression,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.02350607526130665,0.7276141806540555
SGDClassifier,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.3784211292430351,0.7923321154412275
SGDClassifier,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.1015755515995084,0.7593701337182973
SGDClassifier,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.07122838608036579,0.7190992351580122
SGDClassifier,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.079380325301362,0.8214469334728899
LinearSVC,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.24766722344254288,0.7176957807718338
LinearSVC,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.045641035096557425,0.6227407037284642
LinearSVC,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.025325863797827936,0.5050074204233911
LinearSVC,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.016042386248591937,0.6323000542292596
RandomForest,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.44854435869869036,0.8149156758350669
RandomForest,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.6982072755215953,0.9509690062129139
RandomForest,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.7196541253525046,0.9645673262656108
RandomForest,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.8356147353079915,0.9711846542531593
ExtraTrees,1,2024-04-06 05:47:57+00:00,2024-06-20 10:10:46+00:00,0.022616528297791524,0.45642553918973505,0.830496350404943
ExtraTrees,2,2024-06-20 10:11:05+00:00,2024-08-24 17:45:06+00:00,0.01727711758641272,0.7012770837902914,0.9620286610517719
ExtraTrees,3,2024-08-24 17:45:37+00:00,2024-11-11 23:24:22+00:00,0.01995767540289761,0.7620573503308539,0.9704967673983136
ExtraTrees,4,2024-11-11 23:24:50+00:00,2024-12-31 23:59:41+00:00,0.010244722990938196,0.8587936213905707,0.9807436298739662
